Book ID,Book Name,Admin Type,Province,County,Address,Dynasty,Period,Edition,Volume,Author,Source,Book Year,Edition Year,TimeSpan:begin,TimeSpan:end,Longitude,Latitude
"H00F4","天下一統志","一統","北京","北京","順天府","明","天順","","90卷","李賢等奉勅修.","哈佛燕京圖書館藏珍稀方志","1461","1735","1457","1464","116.3705288","39.9084747"
"H00F5","大明一統志","一統","北京","北京","順天府","明","天順","","90卷","李賢等奉勅修.","哈佛燕京圖書館藏珍稀方志","1505","1505","1457","1464","116.3705288","39.9084747"
"H016D","嘉善縣志","縣","浙江","嘉興","嘉善縣","明","正德","明正德丁丑[1517]修.","6卷","倪璣等纂修.","哈佛燕京圖書館藏珍稀方志","1517","1517","1506","1521","120.917221","30.843824"
"H0163","雍大記","州","陝西","西安","雍州","明","嘉靖","","三十六卷","何景明撰.","哈佛燕京圖書館藏珍稀方志","1522","1522","1522","1566","108.90698","34.24642"
"H0059","上海縣志","縣","上海","南市","上海縣","明","嘉靖","鄭洛書修版","8卷","高企","哈佛燕京圖書館藏珍稀方志","1534","1932","1522","1566","121.473701","31.230416"
"H0165","南畿志","府","江蘇, 安徽, 上海","上海","南畿","明","嘉靖","明嘉靖間 [約1535]","64卷","陳沂等編輯 ; 聞人詮通輯.","哈佛燕京圖書館藏珍稀方志","1534","1534","1522","1566","121.48676","31.22443"
"H00F9","全遼志","省","遼寧","遼陽","遼東都指揮使司","清","嘉慶","據明嘉靖44 [1565] 刋本油印","6卷","陳絳, 李輔","哈佛燕京圖書館藏珍稀方志","1544","1934","1796","1820","123.118284","41.2707726"
"H0146","喬三石耀州志","州","陝西","銅川","耀州","明","嘉靖","","十一卷","喬世寧, 李廷寶撰.","哈佛燕京圖書館藏珍稀方志","1557","1762","1522","1566","108.5602814","35.0630501"
"H016F","宣府鎮志","鎮","河北","張家口","宣府鎮","明","隆慶","明嘉靖刻，隆情增修本","四十二卷","明孫世芳纂修.","哈佛燕京圖書館藏珍稀方志","1561","1561","1567","1572","115.100944","40.4939469"
"H00C2","雲南通志","省","雲南","昆明","雲南省","明","萬曆","民國23年[1934]重印版","17卷","李元陽纂 ; 鄒應龍修","哈佛燕京圖書館藏珍稀方志","1574","1934","1573","1619","101.3431058","24.4752847"
"H00F6","大明一統志輯錄","一統","北京","北京","順天府","明","萬曆","","2卷","張應圖纂集 ; 林文豐校正.","哈佛燕京圖書館藏珍稀方志","1576","1576","1573","1619","116.3705288","39.9084747"
"H0166","大明一統志","一統","北京","北京","順天府","明","萬曆","[歸仁齋楊氏刊, 萬曆戊子]","90卷","李賢等奉勅撰","哈佛燕京圖書館藏珍稀方志","1588","1588","1573","1619","116.368","39.93143"
